kategoria,produkt,opinia
RTV,telewizor,"Urządzenie jest w porządku, ale brak niektórych nowoczesnych funkcji może przeszkadzać. Obraz jest dobry, ale matryca odbija światło, co utrudnia oglądanie w jasnych pomieszczeniach."
RTV,GPS,Wyświetlacz jest duży i czytelny w każdych warunkach.
Zegarki i biżuteria,Bransoletka,Nie polecam! Rozpadła się w ciągu 3 tygodni! 
telefony,Samsung B2710 SOLID ,Wytrzymały i solidny! 
Sport,Rowerek do ćwiczeń,"Siodełko jest bardzo niewygodne, a montaż był wyjątkowo skomplikowany."
Zegarki i biżuteria,Zegarek,"Produkt spełnia swoje podstawowe funkcje, ale niektóre aspekty są rozczarowujące. Termometr i kompas nie są zbyt precyzyjne, a podświetlenie działa tylko przez chwilę, co może być uciążliwe w ciemności. Mechanizm zegarka jest w porządku, ale materiał bransolety mógłby być bardziej trwały. Ogólnie zegarek jest w porządku, ale nie wyróżnia się niczym szczególnym."
Sport,Białko WPC 104,"Produkt w porządku, ale wymaga długiego mieszania, by się rozpuścił."
Odzież,Torebka,"Produkt wygląda dobrze, ale tylko na pierwszy rzut oka. Ramiączka są bardzo nietrwałe, a materiał szybko traci swój wygląd. Nie jest to torebka, którą można polecić do codziennego użytku."
Zegarki i biżuteria,Zegarek,"Produkt spełnił wszystkie moje oczekiwania. Mechanizm działa bez zarzutu, a zegarek wygląda bardzo elegancko. To idealny wybór zarówno na co dzień, jak i na bardziej formalne okazje. Polecam! "
Odzież,Koszulka,"Produkt jest średniej jakości. Materiał jest bardzo cienki i szybko traci swoją formę. Po pierwszym praniu koszulka wyglądała na znoszoną. Nie jest to produkt, który poleciłbym komuś, kto szuka trwałości."
AGD,żelazko,"Żelazko jest bardzo wygodne w użyciu. Funkcja pary działa bez zarzutu i doskonale radzi sobie nawet z mocnymi zagnieceniami. Po miesiącu użytkowania mogę stwierdzić, że jest warte swojej ceny. "
telefony,Sony Ericsson K750i ,"Telefon jest wytrzymały i łatwy w obsłudze, idealny na co dzień."
Zegarki i biżuteria,Zegarek,"Zegarek spełnił wszystkie moje oczekiwania. Mechanizm działa bardzo precyzyjnie, a zegarek jest prosty i wygodny w użytkowaniu. Dodatkowe funkcje, takie jak podświetlenie, są bardzo przydatne, choć nie korzystam z nich często. Polecam każdemu, kto szuka solidnego zegarka w przystępnej cenie."
Zegarki i biżuteria,Zegarek,"Mechanizm jest w miarę dokładny, ale dodatkowe funkcje mogłyby działać lepiej."
RTV,telewizor,Doskonały stosunek jakości do ceny. Smart TV działa bez zarzutu.
Sport,Białko WPC 136,"Białko spełnia moje oczekiwania, łatwo się przygotowuje i świetnie smakuje. "
RTV,słuchawki,"Dźwięk jest czysty, a słuchawki bardzo wygodne."
Zegarki i biżuteria,Bransoletka,"Bransoletka dobrze wygląda na ręce, ale nie jest to produkt na codzienne noszenie."
RTV,telewizor,"Obudowa wygląda solidnie, ale telewizor jest kompletnie nieużyteczny. Jakość obrazu jest koszmarna, a dźwięk brzmi jak z taniego radia. Dodatkowo zdalne sterowanie często przerywa sygnał. To totalna porażka."
RTV,telewizor,"Telewizor działa poprawnie, ale niczym się nie wyróżnia."
Sport,Rakieta do Squasha,"Działa świetnie, uderzenia są precyzyjne, a grip idealnie leży w dłoni."
Odzież,Torebka,"Torebka spełniła wszystkie moje oczekiwania. Wygląda pięknie, jest bardzo funkcjonalna i solidnie wykonana. Ramiączka są wygodne, a materiał odporny na uszkodzenia. To zdecydowanie jeden z moich najlepszych zakupów! "
RTV,słuchawki,"Słuchawki spełniają swoje podstawowe zadanie, ale nie oferują nic wyjątkowego. Dźwięk jest czysty, choć czasem brakuje balansu między tonami. Kabel mógłby być bardziej wytrzymały, ale jak za tę cenę, są w porządku."
RTV,GPS,"Wyświetlacz jest czytelny tylko w słabym świetle, w słońcu jest problematyczny."
Odzież,Botki,"Te botki to bardzo dobry wybór. Wyglądają dokładnie jak na zdjęciach, a jakość wykonania jest na wysokim poziomie. Są wygodne, a podeszwa jest odpowiednia nawet na śliskie nawierzchnie. Bardzo polecam!"
Zegarki i biżuteria,Naszyjnik,"Produkt wygląda elegancko, ale w rzeczywistości jest bardzo delikatny i łatwo się niszczy."
RTV,telewizor,"Nie jest to najlepszy telewizor, ale za tę cenę spełnia swoje zadanie. Obraz jest ostry, choć kolory mogłyby być bardziej nasycone. Smart TV działa poprawnie, ale nie idealnie."
Zegarki i biżuteria,Naszyjnik,"To idealny naszyjnik dla osób, które cenią sobie elegancję i trwałość. Wygląda przepięknie, a jakość wykonania jest na bardzo wysokim poziomie. Kamienie są piękne, a zapięcie jest bardzo wygodne. "
telefony,Samsung B2710 SOLID ,"Wytrzymały telefon, ale brakuje mu nowoczesnych funkcji."
AGD,żelazko,"Świetna jakość, żelazko lekkie i bardzo wydajne. "
AGD,odkurzacz,"Zbyt mała moc ssania, sprawdza się tylko na twardych podłogach. "
AGD,żelazko,"Po kilku użyciach zauważyłem, że plastik zaczyna się odkształcać. "
Sport,Rakieta do Squasha,"Bardzo nędzny grip fabryczny, poza tym - póki co ok, dobra siła. "
RTV,telewizor,"Telewizor spełnia wszystkie moje oczekiwania. Obraz jest bardzo wyraźny, a kolory wyglądają naturalnie. Funkcje Smart TV działają płynnie, co jest dla mnie bardzo ważne. Świetny stosunek jakości do ceny!"
RTV,słuchawki,"Przerysowany bas i fatalna wtyczka (przynajmniej w wersji 25th anniversary). Przez pięć lat używałem Sennheiserów PX200 (ale się w końcu rozpadły - nie rozpieszczałem ich) - miały bardziej naturalne odwzorowane pasmo w całym zakresie (bez mocno natarczywego podbitego basu), co bardziej mi odpowiadało. Wymiana wtyczki to katorga - bardzo cieniutkie przewody umazane barwnikami (izolacją) nie są najwdzięczniejszym materiałem do wymiany... "
telefony,Sony Ericsson K750i ,Świetny telefon! 
Sport,Rakieta do Squasha,"Nie nadaje się do gry – źle wyważona, a precyzja uderzeń jest tragiczna."
telefony,Sony Ericsson K750i ,"Do podstawowego użytku się nadaje, choć bateria mogłaby trzymać dłużej."
AGD,żelazko,"Doskonały produkt. Prasowanie nim to czysta przyjemność – równomierna temperatura, wydajna para, a do tego nowoczesny wygląd. Używam go codziennie od pół roku i nie znalazłem żadnych wad. "
AGD,odkurzacz,Nie polecam. Odkurzacz zupełnie nie radzi sobie z dywanami. 
Odzież,Torebka,"Materiał, z którego zrobiona jest torebka, wygląda tanio i bardzo szybko się przeciera."
AGD,odkurzacz,"Nie spełnia moich oczekiwań, zbyt często się zatyka. "
Zegarki i biżuteria,Naszyjnik,"Naszyjnik wygląda bardzo ładnie i dobrze prezentuje się na szyi, jednak zapięcie jest mało intuicyjne i wymaga przyzwyczajenia. Kamienie są estetyczne, ale szybko tracą swój blask, co trochę psuje ogólny efekt. Produkt jest w porządku, ale jego jakość mogłaby być lepsza, szczególnie jeśli chodzi o trwałość materiałów."
Sport,Rakieta do Squasha,"Materiał wygląda solidnie, ale wyważenie mogłoby być lepsze."
Sport,Białko WPC 93,Nie jestem zadowolony – rozpuszczalność i smak pozostawiają wiele do życzenia.
Odzież,Botki,"Buty wyglądają na zdjęciach bardzo dobrze, ale w rzeczywistości jakość jest przeciętna. Podszewka wystaje na zewnątrz i wygląda nieestetycznie. Dodatkowo materiał jest bardzo słaby i szybko się niszczy. Nie polecam za tę cenę."
telefony,Sony Ericsson K750i ,"Wyświetlacz jest czytelny, ale menu jest mało intuicyjne."
Odzież,Botki,Średnio wygodne i farbują stopę. Można w pracy w nich posiedzieć 
RTV,GPS,"GPS spełnia swoje podstawowe zadanie, ale czasami zdarza mu się gubić sygnał."
Zegarki i biżuteria,Zegarek,"Zegarek wygląda dobrze i spełnia swoje podstawowe funkcje, ale ma swoje wady. Termometr i kompas są niedokładne, co ogranicza ich praktyczne zastosowanie. Mechanizm działa w miarę dokładnie, choć zdarzało się, że trzeba było go ręcznie korygować. To produkt odpowiedni dla osób, które szukają prostego zegarka bez większych oczekiwań."
AGD,żelazko,"Mam za sobą ponad 50 tys wyprasowanych koszul, używałam różnych żelazek różnych producentów. Kiedyś żelazka Philips'a były bardzo dobrej jakości, chociaż zawsze należały do tych droższych. Dziś pozostała wysoka cena i wygląd. Żelazka nowej generacji poniszczyły koszule w sposób nie do uratowania - pozostawiają rdzawe kropki. Chciałabym podkreślić, że bardzo dbam o sprzęt i regularnie czyszczę. Myślę, że to wada technologiczna, która ""przepuszcza"" zanieczyszczenia przez kabel doprowadzający parę. Przez rok prowadziłam korespondencję z firmą Philips. Niestety w tonie ""my wiemy lepiej"" i braku dbałości o dobrą opinię."
RTV,słuchawki,"Do codziennego słuchania muzyki są wystarczające, ale brakuje im trwałości. Kabel jest dość delikatny, a dźwięk, choć czysty, nie zachwyca. "
Odzież,Torebka,"Torebka jest niepraktyczna, wygląda dobrze na zdjęciu, ale w rzeczywistości to totalny bubel."
AGD,odkurzacz,"Odkurzacz jest w porządku, ale cena mogłaby być niższa. "
AGD,odkurzacz,"Zdecydowanie odradzam ten odkurzacz. Już po tygodniu użytkowania zauważyłem spadek mocy. Poza tym zbyt często trzeba czyścić filtr, co jest bardzo uciążliwe. "
Sport,Rowerek do ćwiczeń,"Idealny wybór dla początkujących, bardzo wygodny i cichy w użyciu."
Zegarki i biżuteria,Naszyjnik,"Design jest ładny, ale jakość wykonania pozostawia wiele do życzenia."
RTV,słuchawki,Słuchawki świetnie wyglądają i brzmią rewelacyjnie.
Odzież,Botki,"Fatalne wykończenie i słaby materiał, buty nie warte swojej ceny. "
telefony,Samsung B2710 SOLID ,"Jest to telefon, który dobrze sprawdza się w pracy w trudnych warunkach. Solidna obudowa i długa praca na baterii to jego największe atuty. Niestety, brak wsparcia od producenta i archaiczne oprogramowanie sprawiają, że nie jest to telefon dla każdego. "
Zegarki i biżuteria,Bransoletka,"Bransoletka jest ładna i dobrze wygląda na ręce, ale niestety materiał jest bardzo delikatny. Zapięcie wymaga ostrożności, bo łatwo się rozpina. Produkt nadaje się bardziej na specjalne okazje niż do codziennego użytkowania."
RTV,słuchawki,"Słuchawki mają słabą jakość wykonania, a przewód to totalna porażka. Dźwięk był w porządku przez pierwszy miesiąc, ale potem zaczęły się problemy z jedną ze słuchawek. Nie polecam nikomu!"
Sport,Rakieta do Squasha,"Produkt jest w porządku, ale wymaga wymiany owijki po kilku grach."
RTV,telewizor,Telewizor spełnia wszystkie moje oczekiwania. Fantastyczna jakość obrazu!
Odzież,Torebka,"Torebka wygląda elegancko, ale szybko się rysuje."
RTV,telewizor,"Nie zachwyca, ale też nie rozczarowuje."
telefony,Sony Ericsson K750i ,"To najlepszy telefon w tej klasie. Wytrzymały, funkcjonalny i bardzo prosty w obsłudze. Wyświetlacz jest jasny i czytelny, a bateria trzyma bardzo długo. Jestem zachwycony!"
AGD,lodówka,Jestem bardzo rozczarowany tym zakupem. Lodówka zaczęła się psuć już po kilku dniach użytkowania. Oprócz tego półki są wykonane z taniego plastiku i wydają się bardzo nietrwałe. Serwis nie jest pomocny i odmawia naprawy w ramach gwarancji. 
Zegarki i biżuteria,Bransoletka,"Jestem absolutnie zachwycona tą bransoletką. Wygląda niezwykle elegancko, a jakość wykonania jest na najwyższym poziomie. Kamienie są pięknie osadzone i nie tracą blasku, a zapięcie jest bardzo solidne. Idealna na każdą okazję."
Odzież,Botki,"Średnio wygodne, ale na krótkie wyjścia wystarczające."
Sport,Białko WPC 97,"To białko ma swoje plusy i minusy. Smak jest dość znośny, ale rozpuszczalność fatalna – w koktajlu zawsze zostają grudki. Po kilku porcjach miałem również problemy z trawieniem, więc raczej nie zdecyduję się na ponowny zakup."
AGD,odkurzacz,"Odkurzacz działa bez zarzutu, łatwy w obsłudze i wygodny. "
Odzież,Torebka,"Torebka wygląda na zdjęciach pięknie, ale rzeczywistość jest zupełnie inna. Ramiączka są bardzo słabe, a materiał szybko się przeciera. Jakość wykonania jest bardzo niska, co sprawia, że produkt nie nadaje się do użytku."
Zegarki i biżuteria,Zegarek,"Dodatkowe funkcje, jak termometr czy kompas, są niedokładne i bezużyteczne."
RTV,telewizor,"Telewizor działa dobrze w trybie podstawowym, ale bardziej wymagający użytkownicy mogą być rozczarowani. Jakość obrazu jest niezła, ale aplikacje działają bardzo wolno."
Zegarki i biżuteria,Naszyjnik,"Kamienie w naszyjniku szybko straciły swój blask, co bardzo mnie rozczarowało."
RTV,słuchawki,"Słuchawki są dość wygodne, ale dźwięk pozostawia wiele do życzenia."
Odzież,Torebka,"Ładna, ale wadliwa. "
AGD,odkurzacz,"Produkt używam od tygodnia. Na najmniejszej mocy bardzo cichy. Turboszczotka dobra, ale do dywanów z długim włosiem, do raczej zbitych nie ma potrzeby jej używać. Na największej mocy udaje mu się wciągnąć włosy z dywanu. W miarę lekki i zwrotny. Kawalerkę można odkurzyć bez przełączania kabla do innego gniazdka :) także długość kabla ok. Podsumowując, po prostu zwykły odkurzacz :)"
Odzież,Koszulka,"Po pierwszym praniu materiał wygląda na zużyty, a koszulka straciła fason."
RTV,telewizor,Obraz nic nadzwyczajnego. Telewizor bardzo źle radzi sobie z sygnałem analogowym. Obraz niedostatecznie szybko się odświeża Po podłączeniu sygnału cyfrowego da się oglądać. Ciekawe funkcje dodatkowe.
Sport,Białko WPC 83,Jadłem lepsze. Posmak chemiczny. 
RTV,GPS,"Jestem zadowolony, bateria wytrzymuje wystarczająco długo."
AGD,odkurzacz,"Nie działa tak, jak powinien. Hałasuje i szybko się przegrzewa. "
Odzież,Botki,Nie warte swojej ceny. 
Odzież,Torebka,"To najlepsza torebka, jaką miałam okazję kupić. Jest bardzo pojemna, a jednocześnie wygląda elegancko. Materiał jest trwały, a kieszonki w środku są niezwykle praktyczne. Idealna zarówno do pracy, jak i na wieczorne wyjścia."
Zegarki i biżuteria,Bransoletka,"Bransoletka jest bardzo delikatna, a materiał, z którego została wykonana, wygląda na tandetny."
RTV,telewizor,"Dźwięk jest średni, ale jakość obrazu na kanałach HD jest przyzwoita."
Sport,Białko WPC 118,"Produkt nie jest zły, ale brakuje mu czegoś, co wyróżniałoby go na tle innych. Smak jest przyjemny, ale wymaga sporo mieszania, by osiągnąć odpowiednią konsystencję. Ogólnie jest w porządku, ale nie dla wymagających."
RTV,GPS,"Ten GPS, spełnia oczekiwania każdego kto poszukuje tego typu rozwiązań. Działa bardzo szybko, dając nam wiele możliwości. Jest fantastycznie wykonany. Uwielbiam pracować z tym urządzeniem. "
Sport,Rowerek do ćwiczeń,"Rowerek jest bardzo niestabilny, trzeszczy i sprawia wrażenie tandetnego."
telefony,Samsung B2710 SOLID ,"Jestem zadowolony, spełnia moje oczekiwania."
Sport,Białko WPC 105,"Białko jest w miarę OK, choć konsystencja po wymieszaniu nie jest idealna."
RTV,telewizor,Nie radzi sobie z odtwarzaniem treści 4K. Obraz często się zacina.
Zegarki i biżuteria,Naszyjnik,"Naszyjnik pękł już po pierwszym założeniu, jakość pozostawia wiele do życzenia."
Sport,Rakieta do Squasha,Jak na razie jestem bardzo mile zaskoczony i zadowolony - polecam 
Sport,Rowerek do ćwiczeń,Świetny sprzęt do domu! 
Zegarki i biżuteria,Zegarek,"Zegarek zawiódł mnie pod każdym względem. Materiał bransolety jest tandetny i łatwo się odbarwia, a sam mechanizm zegarka przestał działać już po kilku dniach. Niestety nie uzyskałam pomocy ze strony serwisu. "
AGD,lodówka,"Bardzo dobry sprzęt, chłodzi szybko i równomiernie."
Zegarki i biżuteria,Naszyjnik,"Design jest ładny, ale zapięcie jest mało praktyczne i czasami sprawia problemy."
Odzież,Koszulka,"Koszulka bardzo niskiej jakości,po pierwszym praniu z XL skurczyła się do M ,co jest nie do przyjęcia,szczególnie biorąc pod uwagę,że długość po praniu jest zredukowana o połowę. Odradzam kupowanie ubrań tej marki. "
Odzież,Koszulka,Średnia jakość. 
Odzież,Torebka,"Bardzo funkcjonalna, świetnie sprawdza się zarówno na co dzień, jak i na wyjścia. "
telefony,Sony Ericsson K750i ,"To telefon, który zadowoli mniej wymagających użytkowników. Działa stabilnie, choć ma pewne niedociągnięcia, takie jak trudne do obsługi menu i przeciętny aparat. Bateria działa całkiem dobrze, co jest dużym plusem."
