id,kategoria,produkt,opinia,liczba gwiazdek,klasyfikacja opinii
11,AGD,odkurzacz,Odkurzacz bardzo ładny i dobrze wyposażony tylko co z tego jak dostałem wadliwy model.,2,negatywna
12,AGD,odkurzacz,Odkurzacz jak odkurzacz. Zawiodłem się poziomem hałasu. Stary Electrolux który ma o 3-4 dB więcej pracował dużo ciszej. ,3,neutralna
13,AGD,lodówka,Awaria wyświetlacza po 3 latach użytkowania nie świadczy dobrze o jakości produktu :( zobaczymy kiedy zawiedzie jakiś bardziej istotny element :(,3,neutralna
14,AGD,lodówka,"Lodówka w pełni spełnia swoje funkcje, nowoczesna. Bardzo dobrze chłodzi i mrozi. Polecam!",5,pozytywna
15,AGD,lodówka,"Wyrafinowana elegancja, na razie tylko sprawdzona czy działa, bo czekamy na stolarza- wysokość lodówki producent mierzy od frontu, więc zabrakło 1 cm wysokości i trzeba podciąć górna półkę.",4,pozytywna
16,AGD,lodówka,"Radzę dobrze zastanowić się nad wyborem marki Samsung i nie dać się skusić na ładny wygląd. Lodówka obarczona jest wadą fabryczną - po okresie gwarancyjnym psuje się wyświetlacz - firma Samsung umywa ręce. Na gwarancji miałem wymieniany wyświetlacz, drugi raz zepsuł się po okresie gwarancyjnym - wg. pracownika serwisu ten problem jest mu b. dobrze znany. Szajsung - ta nazwa nie pojawiła się przypadkowo.",2,negatywna
17,AGD,lodówka,"Ładny wygląd, przeciętna jakość wykonania, ogólnie szału nie ma.",3,neutralna
18,AGD,lodówka,"jestem użytkownikiem tej lodówki od 2.5 roku, generalnie pięknie wygląda wygląda funkcjonalny środek, ale...i się teraz zacznie po zakupie na wstępie uszkodzona fabrycznie sprężarka wymiana na gwarancji czas oczekiwania prawie miesiąc, następnie poleciał wyświetlacz wymiana , minął czas gwarancji ponownie ta sama usterka wyświetlacza oczywiście już naprawa za swoje koszt 450zł , faktycznie dość głośna praca ale nie ma dramatu cena nie adekwatna do jakości",1,negatywna
19,AGD,żelazko,Katastrofa! ,1,negatywna
20,AGD,żelazko,Żelazko bardzo szybko się przegrzewa i cieknie z niego woda. ,1,negatywna
21,AGD,żelazko,"Niestety, urządzenie wyglądało solidnie, ale okazało się totalnym bublem. ",1,negatywna
22,AGD,żelazko,"Nie działa jak należy, temperatura jest niestabilna. ",1,negatywna
23,AGD,żelazko,Prasowanie tym sprzętem to udręka. Totalna strata pieniędzy. ,1,negatywna
24,AGD,żelazko,"Urządzenie awaryjne, musiałem reklamować po tygodniu. ",1,negatywna
25,AGD,żelazko,"Wygląda ładnie, ale funkcjonalność jest na niskim poziomie. ",1,negatywna
26,AGD,żelazko,"Żelazko wyglądało świetnie w sklepie, ale to tylko pozory. Nie nagrzewa się równomiernie, a plastikowa rączka jest bardzo niewygodna w użytkowaniu. Nie polecam. ",1,negatywna
27,AGD,żelazko,"Produkt ma niską jakość wykonania. Funkcja pary praktycznie nie działa, a dodatkowo woda wycieka na ubrania. Bardzo się rozczarowałem. ",1,negatywna
28,AGD,żelazko,"Zakup tego żelazka to był ogromny błąd. Oprócz przeciekającego zbiornika na wodę, urządzenie bardzo długo się nagrzewa. Zdecydowanie odradzam każdemu. ",1,negatywna
29,AGD,żelazko,Słabe! ,2,negatywna
30,AGD,żelazko,"Produkt działa, ale jest bardzo awaryjny. ",2,negatywna
31,AGD,żelazko,Żelazko rozczarowuje niską mocą i słabą funkcją pary. ,2,negatywna
32,AGD,żelazko,"Wygląda dobrze, ale niestety efektywność pozostawia wiele do życzenia. ",2,negatywna
33,AGD,żelazko,"Niestety, prasowanie grubych tkanin jest prawie niemożliwe. ",2,negatywna
34,AGD,żelazko,"Po kilku użyciach zauważyłem, że plastik zaczyna się odkształcać. ",2,negatywna
35,AGD,żelazko,"Działa, ale zbyt często się przegrzewa, co jest bardzo irytujące. ",2,negatywna
36,AGD,żelazko,"Żelazko sprawia wrażenie solidnego, ale codzienna eksploatacja pokazuje jego wady. Zbiornik na wodę jest bardzo mały, a kabel krótki, co utrudnia pracę. ",2,negatywna
37,AGD,żelazko,"Nie polecam tego produktu. Często przerywa działanie, a parowanie jest nierówne. Nie nadaje się do prasowania delikatnych materiałów. ",2,negatywna
38,AGD,żelazko,"Wybrałem to żelazko ze względu na dobre opinie, ale się rozczarowałem. Nie dość, że grzeje się bardzo długo, to funkcja pary działa tylko sporadycznie. Lepiej dołożyć i kupić coś lepszego. ",2,negatywna
39,AGD,żelazko,Może być. ,3,neutralna
40,AGD,żelazko,OK. ,3,neutralna
41,AGD,żelazko,"Żelazko działa, ale brakuje mu nowoczesnych funkcji. ",3,neutralna
42,AGD,żelazko,"Nie jest złe, ale trochę za drogie jak na swoje możliwości. ",3,neutralna
43,AGD,żelazko,"Spełnia podstawowe oczekiwania, choć spodziewałem się więcej. ",3,neutralna
44,AGD,żelazko,"Funkcja pary działa poprawnie, ale mogłaby być wydajniejsza. ",3,neutralna
45,AGD,żelazko,"W tej cenie mogło być lepsze, ale do codziennego użytku wystarczy. ",3,neutralna
46,AGD,żelazko,"Urządzenie sprawdza się, choć nie radzi sobie z trudnymi zagnieceniami. ",3,neutralna
47,AGD,żelazko,"Dobrze wykonane, ale funkcjonalność pozostawia trochę do życzenia. ",3,neutralna
48,AGD,żelazko,"Nie zachwyca, ale też nie rozczarowuje. Taki sprzęt na co dzień. ",3,neutralna
49,AGD,żelazko,"Solidne żelazko, ale brak kilku przydatnych funkcji. ",3,neutralna
50,AGD,żelazko,"Działa poprawnie, choć mogłoby być bardziej ergonomiczne. ",3,neutralna
51,AGD,żelazko,"Nie jest idealne, ale daje radę w codziennych obowiązkach. ",3,neutralna
52,AGD,żelazko,"Wygląda dobrze i spełnia swoje zadanie, ale bez rewelacji. ",3,neutralna
53,AGD,żelazko,"Żelazko działa dobrze, ale brakuje mi w nim kilku funkcji, które widziałem w innych modelach w podobnej cenie. Ogólnie jednak nie mam większych zastrzeżeń. ",3,neutralna
54,AGD,żelazko,"Sprzęt jest dość przeciętny. Działa poprawnie, ale jego ergonomia mogłaby być lepsza. Funkcja pary czasem przerywa, co bywa irytujące. ",3,neutralna
55,AGD,żelazko,"Produkt spełnia podstawowe oczekiwania. Jest w miarę solidnie wykonany, ale czas nagrzewania jest dłuższy niż w innych żelazkach, których używałem. ",3,neutralna
56,AGD,żelazko,"Żelazko wygląda na solidne, ale w praktyce wypada średnio. Funkcja pary działa tylko częściowo, a plastikowa obudowa sprawia wrażenie, że nie wytrzyma długo. ",3,neutralna
57,AGD,żelazko,"To żelazko mogłoby być lepsze, szczególnie jeśli chodzi o wydajność pary. Na plus warto zaznaczyć solidne wykonanie i dość szybki czas nagrzewania. ",3,neutralna
58,AGD,żelazko,"Urządzenie dobrze radzi sobie z prostymi zadaniami, ale przy grubszych materiałach trzeba kilka razy prasować te same miejsca. Za tę cenę oczekiwałem więcej. ",3,neutralna
59,AGD,żelazko,Bardzo dobre! ,4,pozytywna
60,AGD,żelazko,"Żelazko działa bez zarzutu, jest wygodne i dobrze wykonane. ",4,pozytywna
61,AGD,żelazko,"Szybko się nagrzewa, a funkcja pary radzi sobie świetnie z trudnymi zagnieceniami. ",4,pozytywna
62,AGD,żelazko,"Bardzo dobry sprzęt, jakość adekwatna do ceny. ",4,pozytywna
63,AGD,żelazko,"Świetny produkt, idealny do codziennego użytku. ",4,pozytywna
64,AGD,żelazko,Ergonomiczna rączka i łatwość obsługi to jego największe zalety. ,4,pozytywna
65,AGD,żelazko,"W porównaniu do mojego poprzedniego żelazka, to jest o wiele lepsze. ",4,pozytywna
66,AGD,żelazko,"Żelazko jest bardzo wygodne w użyciu. Funkcja pary działa bez zarzutu i doskonale radzi sobie nawet z mocnymi zagnieceniami. Po miesiącu użytkowania mogę stwierdzić, że jest warte swojej ceny. ",4,pozytywna
67,AGD,żelazko,"Jestem bardzo zadowolony z zakupu. Żelazko nagrzewa się błyskawicznie, a jego wydajność w prasowaniu trudnych materiałów jest na bardzo wysokim poziomie. Wygodna rączka sprawia, że nawet dłuższe prasowanie nie męczy. ",4,pozytywna
68,AGD,żelazko,"Produkt spełnił moje oczekiwania. Jest solidnie wykonane, ma estetyczny design i prostą obsługę. Duży plus za funkcję samooczyszczania oraz długi przewód, który ułatwia pracę. Polecam każdemu, kto szuka żelazka w rozsądnej cenie. ",4,pozytywna
69,AGD,żelazko,Polecam wszystkim! ,5,pozytywna
70,AGD,żelazko,"Najlepsze żelazko, jakie miałem, perfekcyjne w każdym calu. ",5,pozytywna
71,AGD,żelazko,"Jestem zachwycony, działa bez zarzutu i bardzo szybko prasuje. ",5,pozytywna
72,AGD,żelazko,"Świetna jakość, żelazko lekkie i bardzo wydajne. ",5,pozytywna
73,AGD,żelazko,"Idealne do codziennego użytku, funkcja pary działa rewelacyjnie. ",5,pozytywna
74,AGD,żelazko,"Produkt premium w rozsądnej cenie, spełnia wszystkie moje oczekiwania. ",5,pozytywna
75,AGD,żelazko,"Lekkość, szybkość nagrzewania i solidne wykonanie – świetny wybór. ",5,pozytywna
76,AGD,żelazko,"Jestem zachwycony tym żelazkiem. Po pierwsze, bardzo szybko się nagrzewa, co znacznie skraca czas prasowania. Po drugie, funkcja pary działa perfekcyjnie, a urządzenie jest niezwykle wygodne w użytkowaniu. Polecam każdemu! ",5,pozytywna
77,AGD,żelazko,"Żelazko jest fenomenalne! Posiada wszystkie funkcje, jakich potrzebuję, a jakość wykonania przewyższa moje oczekiwania. Doskonale radzi sobie nawet z bardzo trudnymi materiałami, jak len czy gruba bawełna. ",5,pozytywna
78,AGD,żelazko,"Doskonały produkt. Prasowanie nim to czysta przyjemność – równomierna temperatura, wydajna para, a do tego nowoczesny wygląd. Używam go codziennie od pół roku i nie znalazłem żadnych wad. ",5,pozytywna
79,AGD,odkurzacz,Tragedia! ,1,negatywna
80,AGD,odkurzacz,"Odkurzacz ma bardzo słabą moc, ledwo wciąga kurz. ",1,negatywna
81,AGD,odkurzacz,Po kilku użyciach rura odkurzacza pękła. Zawiodłem się. ,1,negatywna
82,AGD,odkurzacz,"Nie działa tak, jak powinien. Hałasuje i szybko się przegrzewa. ",1,negatywna
83,AGD,odkurzacz,"Nie spełnia moich oczekiwań, zbyt często się zatyka. ",1,negatywna
84,AGD,odkurzacz,"Kiepska jakość, plastik wygląda na tani, a kabel jest bardzo krótki. ",1,negatywna
85,AGD,odkurzacz,Nie polecam. Odkurzacz zupełnie nie radzi sobie z dywanami. ,1,negatywna
86,AGD,odkurzacz,"To najgorszy odkurzacz, jaki kiedykolwiek miałem. Zatyka się przy każdej próbie odkurzania dywanu. Kabel jest tak krótki, że ciągle muszę zmieniać gniazdko. Bardzo rozczarowujący produkt. ",1,negatywna
87,AGD,odkurzacz,"Odkurzacz nie radzi sobie z podstawowymi zadaniami. Po 10 minutach użytkowania zaczyna się nagrzewać, a filtr trzeba czyścić po każdym użyciu. Nie polecam nikomu. ",1,negatywna
88,AGD,odkurzacz,"Sprzęt kompletnie się nie sprawdził. Jest bardzo głośny, a siła ssania jest praktycznie zerowa. Dodatkowo, po miesiącu zaczęły odpadać elementy plastikowe. To wyrzucone pieniądze. ",1,negatywna
89,AGD,odkurzacz,Słaby sprzęt. ,2,negatywna
90,AGD,odkurzacz,"Odkurzacz działa, ale bardzo często trzeba opróżniać pojemnik. ",2,negatywna
91,AGD,odkurzacz,"Plastikowy korpus wygląda solidnie, ale szybko pęka. ",2,negatywna
92,AGD,odkurzacz,"Nie radzi sobie z większymi zabrudzeniami, jak sierść zwierząt. ",2,negatywna
93,AGD,odkurzacz,"Sprzęt przeciętny, ale hałasuje jak odkurzacze sprzed dekady. ",2,negatywna
94,AGD,odkurzacz,"Cena nieadekwatna do jakości, brak akcesoriów w zestawie. ",2,negatywna
95,AGD,odkurzacz,"Zbyt mała moc ssania, sprawdza się tylko na twardych podłogach. ",2,negatywna
96,AGD,odkurzacz,"Odkurzacz ma kilka zalet, jak lekka konstrukcja, ale niestety brakuje mu mocy. Sprzątanie dywanu jest praktycznie niemożliwe. Dodatkowo kabel mógłby być dłuższy. ",2,negatywna
97,AGD,odkurzacz,"Urządzenie działa, ale bardzo średnio. Zbiornik na kurz jest malutki, a opróżnianie go jest niewygodne. Na plus można zaliczyć cichszą pracę, ale to nie wystarcza, by polecić ten sprzęt. ",2,negatywna
98,AGD,odkurzacz,"Zdecydowanie odradzam ten odkurzacz. Już po tygodniu użytkowania zauważyłem spadek mocy. Poza tym zbyt często trzeba czyścić filtr, co jest bardzo uciążliwe. ",2,negatywna
99,AGD,odkurzacz,Jest OK. ,3,neutralna
101,AGD,odkurzacz,"Odkurzacz działa poprawnie, ale niczym się nie wyróżnia. ",3,neutralna
102,AGD,odkurzacz,"Nie jest zły, ale brakuje mu dodatkowych funkcji. ",3,neutralna
103,AGD,odkurzacz,"Sprzęt spełnia swoje zadanie, ale radzi sobie tylko z drobnymi zabrudzeniami. ",3,neutralna
104,AGD,odkurzacz,"Mała moc ssania, ale na twardych podłogach działa przyzwoicie. ",3,neutralna
105,AGD,odkurzacz,"Plusem jest kompaktowy rozmiar, ale filtr wymaga częstego czyszczenia. ",3,neutralna
106,AGD,odkurzacz,"Odkurzacz jest w porządku, ale cena mogłaby być niższa. ",3,neutralna
107,AGD,odkurzacz,"Działa tak, jak powinien, ale wydaje się trochę przestarzały. ",3,neutralna
108,AGD,odkurzacz,"est w miarę cichy, ale radzi sobie średnio z większymi zabrudzeniami. ",3,neutralna
109,AGD,odkurzacz,"Do codziennego sprzątania wystarczy, ale brakuje kilku przydatnych akcesoriów. ",3,neutralna
110,AGD,odkurzacz,"Produkt przeciętny, ale za tę cenę jest akceptowalny. ",3,neutralna
111,AGD,odkurzacz,"Funkcjonalny, ale do dokładniejszego sprzątania potrzeba czegoś mocniejszego. ",3,neutralna
112,AGD,odkurzacz,"Nie zachwyca, ale do podstawowego użytku może być. ",3,neutralna
113,AGD,odkurzacz,"Odkurzacz spełnia swoje podstawowe zadanie, ale nie wyróżnia się niczym szczególnym. Przy większych zabrudzeniach trzeba używać go kilkukrotnie, co bywa męczące. ",3,neutralna
114,AGD,odkurzacz,"Sprzęt odpowiedni do małych mieszkań, gdzie nie ma zbyt dużych zabrudzeń. Jest stosunkowo cichy i łatwy w obsłudze, ale nie radzi sobie z dywanami. ",3,neutralna
115,AGD,odkurzacz,"Produkt o średniej wydajności. Kabel jest trochę za krótki, a siła ssania mogłaby być większa. Dla osób bez dywanów może być wystarczający. ",3,neutralna
116,AGD,odkurzacz,"Odkurzacz ma kilka zalet, takich jak kompaktowy rozmiar i prostota obsługi, ale jego moc ssania pozostawia wiele do życzenia. Lepiej sprawdzi się na gładkich powierzchniach. ",3,neutralna
117,AGD,odkurzacz,"Przeciętne urządzenie, które działa, ale wymaga częstego opróżniania zbiornika. Na plus trzeba zaliczyć stosunkowo cichą pracę. ",3,neutralna
118,AGD,odkurzacz,"Sprzęt nie jest zły, ale do ideału mu daleko. Mała moc ssania sprawia, że trzeba się napracować przy sprzątaniu. Z kolei jego kompaktowy rozmiar to zdecydowany atut. ",3,neutralna
119,AGD,odkurzacz,Dobry zakup! ,4,pozytywna
120,AGD,odkurzacz,"Odkurzacz działa bez zarzutu, łatwy w obsłudze i wygodny. ",4,pozytywna
121,AGD,odkurzacz,"Bardzo dobry sprzęt, cichy i efektywny. ",4,pozytywna
122,AGD,odkurzacz,"Działa świetnie, sprawdza się zarówno na podłogach, jak i na dywanach. ",4,pozytywna
123,AGD,odkurzacz,"Zadowalająca siła ssania, dobry stosunek jakości do ceny. ",4,pozytywna
124,AGD,odkurzacz,"Polecam, szczególnie jeśli ktoś szuka kompaktowego urządzenia. ",4,pozytywna
125,AGD,odkurzacz,"Ma dobrą moc i jest prosty w obsłudze, świetny wybór w tej cenie. ",4,pozytywna
126,AGD,odkurzacz,"Jestem bardzo zadowolony z tego odkurzacza. Ma odpowiednią moc, działa cicho, a dodatkowe akcesoria są bardzo przydatne. Idealny do codziennego użytku. ",4,pozytywna
127,AGD,odkurzacz,"To świetny odkurzacz do mieszkania. Radzi sobie z sierścią zwierząt, a jego kompaktowy rozmiar ułatwia przechowywanie. Kabel jest wystarczająco długi, a filtr łatwy do czyszczenia. ",4,pozytywna
128,AGD,odkurzacz,"Bardzo dobry sprzęt. Używam go od kilku miesięcy i nie mam żadnych zastrzeżeń. Świetnie radzi sobie na różnych powierzchniach, od płytek po dywany. Warto zainwestować w ten model. ",4,pozytywna
129,AGD,odkurzacz,Rewelacja! ,5,pozytywna
130,AGD,odkurzacz,"Najlepszy odkurzacz, jaki miałem. Cichy, wydajny i wygodny. ",5,pozytywna
131,AGD,odkurzacz,"Działa perfekcyjnie, siła ssania jest imponująca. ",5,pozytywna
132,AGD,odkurzacz,"Bardzo solidny sprzęt, radzi sobie z każdymi zabrudzeniami. ",5,pozytywna
133,AGD,odkurzacz,"Cichy, lekki i bardzo skuteczny – polecam każdemu! ",5,pozytywna
134,AGD,odkurzacz,"Świetny odkurzacz, szczególnie dla właścicieli zwierząt. ",5,pozytywna
135,AGD,odkurzacz,"Wygodny w użytkowaniu, idealny do dużych mieszkań. ",5,pozytywna
136,AGD,odkurzacz,"Jestem zachwycony tym odkurzaczem. Siła ssania jest idealna, a dodatkowe akcesoria, takie jak szczotka do sierści, są bardzo przydatne. Polecam każdemu, kto szuka solidnego sprzętu. ",5,pozytywna
137,AGD,odkurzacz,"To odkurzacz, który spełnia wszystkie moje oczekiwania. Jest wydajny, cichy i bardzo wygodny w obsłudze. Sprzątanie nim jest szybkie i efektywne, nawet w trudno dostępnych miejscach. ",5,pozytywna
138,AGD,odkurzacz,"Sprzęt najwyższej jakości. Świetnie radzi sobie z każdą powierzchnią, jest łatwy w czyszczeniu i bardzo cichy. Od zakupu tego odkurzacza sprzątanie stało się o wiele przyjemniejsze. ",5,pozytywna
139,AGD,lodówka,Totalna porażka! ,1,negatywna
140,AGD,lodówka,"Lodówka jest bardzo głośna, co jest uciążliwe w małym mieszkaniu. ",1,negatywna
141,AGD,lodówka,Po miesiącu użytkowania przestała działać. Wielkie rozczarowanie. ,1,negatywna
142,AGD,lodówka,"Wygląda solidnie, ale wewnętrzne półki są bardzo delikatne. ",1,negatywna
143,AGD,lodówka,"Drzwi nie domykają się dobrze, co powoduje ciągłe oszranianie. ",1,negatywna
144,AGD,lodówka,"Moc chłodzenia jest słaba, produkty szybko się psują. ",1,negatywna
145,AGD,lodówka,Zbyt mała pojemność w stosunku do podanej specyfikacji. ,1,negatywna
146,AGD,lodówka,"Lodówka zawiodła mnie na całej linii. Już po kilku tygodniach zaczęły się problemy z zamrażarką, która ledwo działa. Dodatkowo urządzenie wydaje głośne dźwięki, co jest bardzo irytujące. Nie polecam nikomu, strata pieniędzy. ",1,negatywna
147,AGD,lodówka,Jestem bardzo rozczarowany tym zakupem. Lodówka zaczęła się psuć już po kilku dniach użytkowania. Oprócz tego półki są wykonane z taniego plastiku i wydają się bardzo nietrwałe. Serwis nie jest pomocny i odmawia naprawy w ramach gwarancji. ,1,negatywna
148,AGD,lodówka,"Urządzenie miało być ciche i energooszczędne, a jest zupełnie na odwrót. Hałasuje jak stary traktor i zużywa więcej prądu, niż się spodziewałem. Po kilku miesiącach zaczęły się problemy z temperaturą, przez co jedzenie się psuje. ",1,negatywna
149,AGD,lodówka,Nie polecam. ,2,negatywna
150,AGD,lodówka,"Chłodzi, ale bardzo nierównomiernie. Produkty w środku pleśnieją.",2,negatywna
151,AGD,lodówka,"Miała być energooszczędna, ale rachunki za prąd wzrosły. ",2,negatywna
152,AGD,lodówka,"Wygląda dobrze, ale funkcjonalność jest słaba. ",2,negatywna
153,AGD,lodówka,"Często trzeba rozmrażać zamrażalnik, co jest bardzo uciążliwe. ",2,negatywna
154,AGD,lodówka,"W środku jest bardzo mało miejsca, choć wygląda na przestronną. ",2,negatywna
155,AGD,lodówka,Nie spełnia moich oczekiwań. Za tę cenę mogłem wybrać lepszy model. ,2,negatywna
156,AGD,lodówka,"Lodówka jest dość przeciętna. Z jednej strony chłodzi poprawnie, ale z drugiej wymaga bardzo częstego rozmrażania. Wnętrze nie jest dobrze zaprojektowane, co utrudnia przechowywanie większych produktów. Generalnie nie polecam jej do dużych rodzin. ",2,negatywna
157,AGD,lodówka,"Urządzenie działa, ale sprawia wiele problemów. Drzwi zamrażalnika są nieszczelne, co powoduje oszranianie się wnętrza. Półki są nietrwałe, a uchwyty wyglądają, jakby miały się zaraz oderwać. Nie jestem zadowolony z zakupu. ",2,negatywna
158,AGD,lodówka,"Lodówka wizualnie prezentuje się świetnie, ale niestety na tym zalety się kończą. Problemy z temperaturą oraz brak możliwości regulacji półek sprawiają, że jest bardzo niepraktyczna. Zdecydowanie nie warto inwestować w ten model. ",2,negatywna
161,AGD,lodówka,"Lodówka działa poprawnie, ale niczym się nie wyróżnia. ",3,neutralna
162,AGD,lodówka,"Nie jest zła, ale spodziewałem się większej pojemności. ",3,neutralna
163,AGD,lodówka,"Chłodzi dobrze, ale mogłaby być trochę cichsza. ",3,neutralna
164,AGD,lodówka,"Urządzenie spełnia swoje podstawowe funkcje, ale ma kilka wad. ",3,neutralna
165,AGD,lodówka,"Zamrażalnik mógłby być większy, ale ogólnie nie jest źle. ",3,neutralna
166,AGD,lodówka,"Sprzęt działa, ale brakuje kilku nowoczesnych funkcji. ",3,neutralna
167,AGD,lodówka,"Nie ma rewelacji, ale w tej cenie nie można wymagać zbyt wiele. ",3,neutralna
168,AGD,lodówka,"Chłodzi równomiernie, choć mam wątpliwości co do trwałości półek.",3,neutralna
169,AGD,lodówka,"Produkt działa poprawnie, ale głośność pracy jest trochę za wysoka. ",3,neutralna
170,AGD,lodówka,"Lodówka jest w porządku, choć wnętrze mogłoby być bardziej przestronne. ",3,neutralna
171,AGD,lodówka,"Dobra na co dzień, ale brakuje kilku przydatnych akcesoriów. ",3,neutralna
172,AGD,lodówka,"W porządku, ale są lepsze modele w podobnej cenie. ",3,neutralna
173,AGD,lodówka,"Lodówka działa bez większych zarzutów, ale nie jest to sprzęt premium. Funkcja szybkiego chłodzenia działa dobrze, ale samo wnętrze jest niezbyt funkcjonalne. Niektóre półki wydają się dość delikatne, co budzi moje obawy co do ich trwałości. ",3,neutralna
174,AGD,lodówka,"Urządzenie dobrze spełnia swoje zadanie. Chłodzi i mrozi poprawnie, ale w zamrażalniku często tworzy się lód, co wymaga regularnego rozmrażania. Wnętrze jest dość przestronne, choć brakuje kilku uchwytów na butelki. ",3,neutralna
175,AGD,lodówka,"To przeciętna lodówka do małego mieszkania. Funkcja chłodzenia działa sprawnie, ale brakuje zaawansowanych funkcji, jak regulacja wilgotności. Na plus zasługuje energooszczędność",3,neutralna
176,AGD,lodówka,"Lodówka jest funkcjonalna, ale nieco zbyt głośna. Wnętrze jest dobrze zaprojektowane, choć zamrażalnik mógłby być większy. Ogólnie sprawdza się do codziennego użytku, ale dla dużej rodziny może być za mała.",3,neutralna
177,AGD,lodówka,"Produkt działa poprawnie, choć mam zastrzeżenia do jakości wykonania półek i uchwytów. Energooszczędność jest na dobrym poziomie, ale brak nowoczesnych funkcji trochę rozczarowuje.",3,neutralna
178,AGD,lodówka,"Lodówka spełnia swoje podstawowe zadania, ale nie zachwyca. Jest stosunkowo cicha i chłodzi równomiernie, ale zdarza się, że zamrażalnik wymaga rozmrażania częściej, niż się spodziewałem. Dobra dla małych gospodarstw domowych.",3,neutralna
179,AGD,lodówka,Dobry wybór! ,4,pozytywna
180,AGD,lodówka,"Lodówka działa bardzo dobrze, cicho i wydajnie.",4,pozytywna
181,AGD,lodówka,"Bardzo dobry sprzęt, chłodzi szybko i równomiernie.",4,pozytywna
182,AGD,lodówka,"Jestem zadowolony, pojemna i łatwa w obsłudze.",4,pozytywna
183,AGD,lodówka,"Świetna lodówka, szczególnie za tę cenę. Polecam!",4,pozytywna
184,AGD,lodówka,"Produkt solidny, działa bez zarzutu, a wnętrze jest dobrze zaprojektowane.",4,pozytywna
185,AGD,lodówka,"Przestronna, cicha i energooszczędna – idealna do większej kuchni.",4,pozytywna
186,AGD,lodówka,"Lodówka spełnia wszystkie moje oczekiwania. Jest bardzo cicha, co w przypadku otwartej kuchni jest dużym plusem. Chłodzenie jest równomierne, a zamrażarka działa perfekcyjnie. Zdecydowanie polecam!",4,pozytywna
